43638 1367 733 653 1 25 736 72641 64614 61323 40819
80753 597 595 480 419 377 374 353 339 207 158
10825 47 1367 653 1 1483 1476 1396 1312 1133 1092
50869 3798 2762 1193 2858 3623 3285 3081 2541 2396 2188
55041 6565 4027 3911 85774 64839 30749 8949 4848 177867 40819
16905 1945 922 112897 106072 52435 3257 2687 2081 203 56782
25617 113 735 720 590 328 288 263 198 170 159
28019 1732 8874 2652 2651 2650 2647 2636 2635 1721 55820
159679 802 52 25 36535 8874 1732 1214 541 62 300
40326 6565 47999 8950 8873 7090 72011 37741 4641 160954 88810
67142 5954 1466 6 112897 108190 52435 3257 2687 905 203
48710 64614 61323 6565 5528 102123 139747 132480 115667 97225 82202
112101 64034 8982 5629 5066 177867 119145 63859 59440 48600 33081
33222 1193 2023 1221 1097 3798 117871 117312 6710 3799 2529
65758 2060 104 50658 8580 1967 581 247 64034 43376 8982
122719 50658 8580 581 1483 1476 1396 1356 1312 1234 1136
50314 177867 164179 160954 135536 66097 176101 174893 122926 122900 104913
109612 112897 108190 106072 91630 52435 3257 2687 805 628 590
51080 177867 6936 5995 4720 2324 160954 174893 104913 1704 8784
27798 1167 1307 1286 590 339 1513 1483 1312 1234 1133
28534 40819 6565 5528 3911 142997 139747 132480 115667 97225 92259
19582 1367 736 733 653 36 3 1 45730 3481 1291
46647 480 419 374 353 339 207 185 158 62 2
121583 122904 94478 40815 551 26680 1391 1272 159717 661 50658
46886 62 25 1358 1213 678 593 527 1258 296 2664
38535 1228 4734 4638 4344 4308 4229 4149 4025 3994 3955
5999 52 64034 54997 3534 2028 1693 1619 1408 802 62
143479 64034 43376 8982 5629 5066 2501 2394 177867 164179 119145
50839 36 733 735 720 671 616 590 328 288 263
141819 338 332 328 315 269 253 234 163 93 69
4300 6879 5816 4896 3052 318 6378 5218 2889 1580 419
10848 142997 139747 132480 115667 97225 92259 8916 7361 4228 586
25943 2692 2409 2165 2132 1897 1639 1635 1216 1094 838
119538 1272 1358 678 8874 1732 25 527 2858 2692 2409
131189 1228 1407 1401 1167 1061 1059 724 662 628 113
120779 1407 1401 1167 1059 724 662 113 64 64034 54997
135231 3052 3006 1694 1079 8874 1214 1732 94959 48082 5902
27079 54997 1272 64034 3534 1693 457 440 314 50658 8580
125682 3798 2762 2712 2710 1193 3826 3623 3285 3005 2908
123527 1401 1167 1945 922 1483 1476 1396 1312 1133 1092
15159 1673 1639 1614 1414 1046 581 783 778 709 58
64049 55290 40629 33660 8533 177867 142997 139747 132480 115667 97225
124227 64614 177867 164179 139747 132480 115667 97225 92259 82202 8984
24200 54995 3081 2710 1241 1079 509 446 345 229 154
84048 64034 43376 8982 5629 2501 1483 1476 1396 1312 1234
39082 1286 62 50658 8580 3545 3072 2291 1967 581 247
110599 64034 43376 8982 5629 2394 55280 47423 5954 2702 96821
66313 36535 55805 55555 48394 6957 3535 2021 589 88163 6215
9977 84392 114662 1197 4345 3160 115210 107141 104374 99112 97923
143617 1228 1407 1401 1167 1061 1059 724 52 4734 4720
